chilled,nonchilled,both
14.2,16,14.2
24.1,30.4,24.1
30.3,34.8,30.3
34.6,37.2,34.6
32.5,35.3,32.5
35.4,39.2,35.4
38.7,39.7,38.7
9.3,13.6,9.3
27.3,27.3,27.3
35,37.1,35
38.8,41.8,38.8
38.6,40.6,38.6
37.5,41.4,37.5
42.4,44.3,42.4
15.1,16.2,15.1
21,32.4,21
38.1,40.3,38.1
34,42.1,34
38.9,42.9,38.9
39.6,43.9,39.6
41.4,45.5,41.4
10.5,10.6,10.5
14.9,19.2,14.9
18.1,26.2,18.1
18.9,30,18.9
19.5,30.9,19.5
22.2,32.4,22.2
21.9,35.5,21.9
7.7,12,7.7
11.4,22,11.4
12.3,30.6,12.3
13,31.8,13
12.5,32.4,12.5
13.7,31.1,13.7
14.4,31.5,14.4
10.6,11.3,10.6
18,19.4,18
17.9,25.8,17.9
17.9,27.9,17.9
17.9,28.5,17.9
18.9,28.1,18.9
19.9,27.8,19.9
,,16
,,30.4
,,34.8
,,37.2
,,35.3
,,39.2
,,39.7
,,13.6
,,27.3
,,37.1
,,41.8
,,40.6
,,41.4
,,44.3
,,16.2
,,32.4
,,40.3
,,42.1
,,42.9
,,43.9
,,45.5
,,10.6
,,19.2
,,26.2
,,30
,,30.9
,,32.4
,,35.5
,,12
,,22
,,30.6
,,31.8
,,32.4
,,31.1
,,31.5
,,11.3
,,19.4
,,25.8
,,27.9
,,28.5
,,28.1
,,27.8